City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
587,Kargasok,RU,22.15,overcast clouds,59.0556,80.8572,Hotel Kargasok
590,Krasnoselkup,RU,21.9,overcast clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
592,Husavik,IS,38.97,light rain,66.0449,-17.3389,Bjarnabúð
594,Milkovo,RU,29.01,few clouds,54.7167,158.6167,"Hotel ""Geologist"""
598,Povenets,RU,30.52,overcast clouds,62.8487,34.8262,Eko Otel' Bol'shaya Medveditsa
608,Bogovarovo,RU,33.64,light snow,58.9785,47.0246,
617,Zhezkazgan,KZ,24.78,few clouds,47.8043,67.7144,Hotel Zumrat
620,Yaransk,RU,28.96,broken clouds,57.3033,47.8861,Центральная Гостиница
623,Anchorage,US,28.45,few clouds,61.2181,-149.9003,Hotel Captain Cook
626,Mezen,RU,30.36,few clouds,65.8522,44.24,Gostevoy Dom Everest
637,Mikhaylovsk,RU,30.42,clear sky,45.1283,42.0256,Max Augustine hotel
642,Zimovniki,RU,34.27,scattered clouds,47.1483,42.4633,"Dom Priyezzhikh, Gostinitsa"
647,Flin Flon,CA,34.36,few clouds,54.7682,-101.865,Victoria Inn Flin Flon
651,Dudinka,RU,24.62,overcast clouds,69.4058,86.1778,Hotel Viktoria
656,Creel,MX,43.59,clear sky,27.75,-107.6333,The Lodge at Creel Hotel & SPA
658,Ketchikan,US,37.87,light rain,55.3422,-131.6461,Snow's Cove Lodge
661,Kayerkan,RU,23.52,overcast clouds,69.3497,87.7602,
671,Esil,KZ,40.32,light rain,51.9556,66.4042,Egorkino Hotel
673,Shihezi,CN,44.91,light rain,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
681,Jidong,CN,42.13,scattered clouds,45.2167,131.0833,Yulong Mountain Villa
686,Atig,RU,36.57,light rain,56.6931,59.4227,Eco park CANADA
688,Atbasar,KZ,39.24,overcast clouds,51.8,68.3333,Гостиничный Комплекс Saad
693,Vanderhoof,CA,30.97,broken clouds,54.0166,-124.0198,Vanderhoof Inn
697,Toora-Khem,RU,21.4,overcast clouds,52.4675,96.11,
