City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
116,Liepaja,LV,56.5419,21.0367,48.18,100,100,2.3,mist
117,Lima,PE,-12.0432,-77.0282,59.25,82,100,10.36,overcast clouds
118,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,20,0,5.75,clear sky
119,Prestea,GH,5.4327,-2.1428,73.47,96,100,1.45,overcast clouds
120,Victoria,HK,22.2855,114.1577,77.18,57,100,21.0,overcast clouds
121,Ambilobe,MG,-13.2,49.05,68.5,82,2,4.25,clear sky
122,Taupo,NZ,-38.6833,176.0833,67.41,47,8,3.27,clear sky
123,Jutai,BR,-5.1833,-68.9,79.45,78,100,2.64,overcast clouds
124,Mar Del Plata,AR,-38.0023,-57.5575,49.95,75,20,8.99,few clouds
125,Marsh Harbour,BS,26.5412,-77.0636,80.53,77,4,12.66,clear sky
126,Broken Hill,AU,-31.95,141.4333,52.47,51,100,25.77,overcast clouds
127,Avera,US,33.194,-82.5271,67.55,87,80,6.17,broken clouds
128,Cherskiy,RU,68.75,161.3,-11.34,98,100,5.14,overcast clouds
129,Bambous Virieux,MU,-20.3428,57.7575,72.21,83,75,4.61,broken clouds
130,Najran,SA,17.4924,44.1277,61.45,37,10,1.57,clear sky
131,Sinaloa,MX,25.0,-107.5,77.45,78,0,3.4,clear sky
132,Lebu,CL,-37.6167,-73.65,52.21,82,0,20.69,clear sky
133,Svetlogorsk,BY,52.6333,29.7333,33.62,80,0,5.57,clear sky
134,Beohari,IN,24.05,81.3833,61.09,72,0,2.75,clear sky
135,Nokaneng,BW,-19.6667,22.2667,72.84,53,68,2.33,light rain
136,Cap-Aux-Meules,CA,47.3821,-61.8597,44.65,87,40,3.44,scattered clouds
137,Bokoro,TD,12.3807,17.0568,82.38,25,48,7.09,scattered clouds
138,Banjar,ID,-8.19,114.9675,85.87,60,24,1.32,few clouds
139,Flinders,AU,-34.5833,150.8552,71.06,46,0,20.65,clear sky
140,Arraial Do Cabo,BR,-22.9661,-42.0278,73.53,94,100,12.97,overcast clouds
141,Demyansk,RU,57.643,32.466,31.08,87,96,3.2,overcast clouds
142,Port Hardy,CA,50.6996,-127.4199,41.18,81,75,2.3,broken clouds
143,Pacific Grove,US,36.6177,-121.9166,57.42,87,40,4.61,scattered clouds
144,Labuhan,ID,-6.8844,112.2051,83.5,67,6,8.3,clear sky
145,San Lorenzo,PY,-25.3333,-57.5333,52.74,76,0,7.0,clear sky
146,Kotel,BG,42.8833,26.45,44.15,74,8,0.76,clear sky
147,Avarua,CK,-21.2078,-159.775,71.65,94,100,18.41,light intensity drizzle
148,Nizwa,OM,22.9333,57.5333,70.99,55,1,1.01,clear sky
149,Cabo San Lucas,MX,22.8909,-109.9124,80.06,76,20,9.22,few clouds
150,Ust-Nera,RU,64.5667,143.2,-6.79,92,54,2.68,broken clouds
151,Kodiak,US,57.79,-152.4072,33.31,34,0,18.41,clear sky
152,Traverse City,US,44.7631,-85.6206,47.61,90,20,1.01,few clouds
153,Cidreira,BR,-30.1811,-50.2056,55.4,79,100,11.1,overcast clouds
154,Lavrentiya,RU,65.5833,-171.0,19.54,90,100,8.93,light snow
155,Bethel,US,41.3712,-73.414,60.89,77,100,1.99,overcast clouds
156,Kruisfontein,ZA,-34.0033,24.7314,55.89,90,23,4.0,few clouds
157,Fortuna,US,40.5982,-124.1573,56.93,94,100,8.05,overcast clouds
158,Gondanglegi,ID,-7.7479,112.0132,83.23,68,19,10.47,few clouds
159,Ayagoz,KZ,47.9714,80.4392,36.16,93,85,3.13,overcast clouds
160,Hamirpur,IN,25.95,80.15,69.28,52,0,2.15,clear sky
